,State,Median inc (2013),Mean inc (2013),Poverty (2013)
1,Alabama,43253,59631,14.3
2,Alaska,70760,87235,6.8
3,Arizona,49774,66971,13.0
4,Arkansas,40768,55749,14.4
5,California,61094,85408,12.0
6,Colorado,58433,78383,9.1
7,Connecticut,69461,97650,7.3
8,Delaware,59878,77915,7.8
9,District of Columbia,65830,101076,14.8
10,Florida,46956,66368,11.9
11,Georgia,49179,67572,14.0
12,Hawaii,67402,84933,7.9
13,Idaho,46767,60192,11.0
14,Illinois,56797,77660,10.3
15,Indiana,48248,62988,11.2
16,Iowa,51843,66136,8.1
17,Kansas,51332,68051,9.3
18,Kentucky,43036,58621,14.4
19,Louisiana,44874,62773,14.8
20,Maine,48453,63143,9.1
21,Maryland,73538,96072,6.8
22,Massachusetts,66866,90877,8.1
23,Michigan,48411,64753,12.0
24,Minnesota,59836,77204,7.4
25,Mississippi,39031,54132,17.8
26,Missouri,47380,63756,11.1
27,Montana,46230,60639,10.1
28,Nebraska,51672,67023,8.6
29,Nevada,52800,69629,11.2
30,New Hampshire,64916,82935,5.6
31,New Jersey,71629,97225,7.9
32,New Mexico,44927,61682,15.6
33,New York,58003,84432,11.7
34,North Carolina,46334,63707,12.9
35,North Dakota,53741,70235,7.1
36,Ohio,48308,64449,11.6
37,Oklahoma,45339,61481,12.6
38,Oregon,50229,66666,11.2
39,Pennsylvania,52548,71088,9.2
40,Rhode Island,56361,75749,9.6
41,South Carolina,44779,60601,13.7
42,South Dakota,49495,64133,9.1
43,Tennessee,44298,61291,13.3
44,Texas,51900,72474,13.7
45,Utah,58821,73717,9.3
46,Vermont,54267,69716,7.6
47,Virginia,63907,87094,8.0
48,Washington,59478,77827,9.0
49,West Virginia,41043,55308,13.0
50,Wisconsin,52413,67448,8.8
51,Wyoming,57406,71081,7.7
