,State,Median inc (2012),Mean inc (2012),Poverty (2012)
1,Alabama,43160,59273,13.9
2,Alaska,69917,86208,6.6
3,Arizona,50256,67444,12.4
4,Arkansas,40531,55158,14.1
5,California,61400,85265,11.5
6,Colorado,58244,77900,8.9
7,Connecticut,69519,97051,7.1
8,Delaware,60119,77453,7.6
9,District of Columbia,64267,99511,14.2
10,Florida,47309,66599,11.4
11,Georgia,49604,67659,13.4
12,Hawaii,67492,84466,7.6
13,Idaho,47015,59974,10.9
14,Illinois,56853,77163,10.0
15,Indiana,48374,62715,10.6
16,Iowa,51129,64881,7.9
17,Kansas,51273,67564,8.9
18,Kentucky,42610,57876,14.2
19,Louisiana,44673,62369,14.3
20,Maine,48219,62392,8.9
21,Maryland,72999,94941,6.5
22,Massachusetts,66658,89965,7.7
23,Michigan,48471,64538,11.7
24,Minnesota,59126,76372,7.2
25,Mississippi,38882,54176,17.5
26,Missouri,47333,63405,10.7
27,Montana,45456,59569,9.8
28,Nebraska,51381,65979,8.4
29,Nevada,54083,70775,10.6
30,New Hampshire,64925,82346,5.6
31,New Jersey,71637,96602,7.4
32,New Mexico,44886,61477,14.9
33,New York,57683,83578,11.4
34,North Carolina,46450,63562,12.4
35,North Dakota,51641,67426,7.5
36,Ohio,48246,63996,11.2
37,Oklahoma,44891,60788,12.3
38,Oregon,50036,66161,10.8
39,Pennsylvania,52267,70243,9.1
40,Rhode Island,56102,74605,9.2
41,South Carolina,44623,60416,13.2
42,South Dakota,49091,63453,8.7
43,Tennessee,44140,60861,13.0
44,Texas,51563,71651,13.5
45,Utah,58164,73002,8.9
46,Vermont,54168,69033,7.3
47,Virginia,63636,86343,7.8
48,Washington,59374,77232,8.7
49,West Virginia,40400,54072,12.8
50,Wisconsin,52627,67188,8.4
51,Wyoming,56573,70836,7.2
