,State,Median inc (2011),Mean inc (2011),Poverty (2011)
1,Alabama,42934,59015,13.4
2,Alaska,69014,84767,6.5
3,Arizona,50752,67885,11.7
4,Arkansas,40149,54723,13.8
5,California,61632,85148,10.8
6,Colorado,57685,77149,8.7
7,Connecticut,69243,96502,6.7
8,Delaware,59317,76889,7.6
9,District of Columbia,61835,96183,13.9
10,Florida,47827,67065,10.6
11,Georgia,49736,67610,12.6
12,Hawaii,67116,83981,7.1
13,Idaho,46890,60274,10.2
14,Illinois,56576,76733,9.6
15,Indiana,48393,62491,10.1
16,Iowa,50451,63845,7.6
17,Kansas,50594,66773,8.6
18,Kentucky,42248,57451,13.7
19,Louisiana,44086,61533,14.1
20,Maine,47898,61967,8.5
21,Maryland,72419,94020,6.1
22,Massachusetts,65981,88577,7.6
23,Michigan,48669,64478,11.1
24,Minnesota,58476,75432,7.1
25,Mississippi,38718,53861,17.0
26,Missouri,47202,62979,10.3
27,Montana,45324,58849,9.7
28,Nebraska,50695,64905,8.1
29,Nevada,55553,72457,9.5
30,New Hampshire,64664,81537,5.2
31,New Jersey,71180,95812,7.0
32,New Mexico,44631,60880,14.4
33,New York,56951,82698,11.0
34,North Carolina,46291,63298,11.8
35,North Dakota,49415,64106,7.3
36,Ohio,48071,63477,10.8
37,Oklahoma,44287,59961,12.0
38,Oregon,49850,65589,10.2
39,Pennsylvania,51651,69282,8.8
40,Rhode Island,55975,74010,8.9
41,South Carolina,44587,60128,12.7
42,South Dakota,48010,61832,8.8
43,Tennessee,43989,60516,12.7
44,Texas,50920,70777,13.2
45,Utah,57783,72305,8.3
46,Vermont,53422,68098,7.1
47,Virginia,63302,85323,7.5
48,Washington,58890,76504,8.4
49,West Virginia,39550,52980,12.8
50,Wisconsin,52374,66693,8.0
51,Wyoming,56380,70940,6.5
