,State,Median inc (2017),Mean inc (2017),Poverty (2017)
1,Alabama,46472,64476,13.6
2,Alaska,76114,94469,6.9
3,Arizona,53510,73735,12.3
4,Arkansas,43813,61330,13.2
5,California,67169,96104,11.1
6,Colorado,65458,88388,7.6
7,Connecticut,73781,105998,7.0
8,Delaware,63036,84146,8.2
9,District of Columbia,77649,116090,13.7
10,Florida,50883,72993,11.1
11,Georgia,52977,74763,12.8
12,Hawaii,74923,95569,7.0
13,Idaho,50985,67338,10.0
14,Illinois,61229,85262,9.8
15,Indiana,52182,69197,10.3
16,Iowa,56570,73510,7.6
17,Kansas,55477,74633,8.5
18,Kentucky,46535,64436,13.8
19,Louisiana,46710,66861,14.9
20,Maine,53024,70210,8.4
21,Maryland,78916,103845,6.6
22,Massachusetts,74167,101858,7.8
23,Michigan,52668,72091,10.9
24,Minnesota,65699,86796,6.6
25,Mississippi,42009,58371,16.6
26,Missouri,51542,70144,10.3
27,Montana,50801,68622,9.1
28,Nebraska,56675,74309,8.0
29,Nevada,55434,73862,10.3
30,New Hampshire,71305,91605,5.0
31,New Jersey,76475,105917,7.9
32,New Mexico,46718,64625,15.6
33,New York,62765,93443,11.3
34,North Carolina,50320,70523,11.8
35,North Dakota,61285,81334,6.8
36,Ohio,52407,71119,10.8
37,Oklahoma,49767,67682,11.8
38,Oregon,56119,75851,9.8
39,Pennsylvania,56951,78192,8.9
40,Rhode Island,61043,82407,9.5
41,South Carolina,48781,66759,12.3
42,South Dakota,54126,71085,8.9
43,Tennessee,48708,68386,12.4
44,Texas,57051,80879,12.4
45,Utah,65325,83147,7.9
46,Vermont,57808,75621,7.3
47,Virginia,68766,94229,7.8
48,Washington,66174,88563,8.0
49,West Virginia,44061,59634,13.0
50,Wisconsin,56759,74372,8.1
51,Wyoming,60938,76731,7.3
